	Actinomarinales1	Alpha1	Alpha10	Alpha12	Alpha13	Alpha14	Alpha15	Alpha16	Alpha2	Alpha3	Alpha4	Alpha5	Alpha6	Alpha7	Alpha8	Alpha9	Delta1	Delta11	Delta12	Delta13	Delta14	Delta2	Delta3	Delta4	Delta5	Gamma1	Gamma2	Gamma3	Gamma4	Gamma5	Gamma7	Marinimicrobia1	Spiro1
4148_4289_CM	0	0	0.27536427536428	0.31454731454731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41008841008841	0	0	0	0	0	0	0
4148_4289_CN	0	0	0.57956067238312	0.24835801802882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17208130958806	0	0	0
4148_4289_CO	0	0	0.73390582772358	0.10702026243008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15907390984633	0	0	0
4148_4289_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35355944294937	0	0	0	0	0	0	0	0.64644055705063	0	0	0	0	0	0	0
4148_4289_E	0	0	0	0	0	0	0	0	0	0	0	0	0.416491	0	0	0	0	0	0	0	0	0	0	0	0	0.583509	0	0	0	0	0	0	0
4148_4289_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360682	0	0	0	0	0	0	0	0.285592	0	0	0	0	0	0	0.353726
4148_4289_H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42307195735471	0	0	0	0	0	0	0	0.49147006755234	0	0	0	0	0	0	0.085457975092947
4148_4289_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067145009816126	0	0	0	0	0.15471976034647	0	0	0.085007195479838	0.18639003793159	0.47658249724945	0	0	0	0	0	0.03015549917653
4148_4289_O	0	0	0	0.42262462348485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57737537651515	0	0	0	0	0	0	0
4148_4289_P	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13475760621511	0	0	0.054210388904145	0	0	0	0	0	0	0.34101924838109	0	0.47001275649966	0	0	0	0	0	0	0
4148_4289_Q	0	0	0	0	0	0	0	0	0	0	0	0.253825	0	0.034508	0	0	0.071911	0	0	0	0	0	0	0	0	0.639756	0	0	0	0	0	0	0
4148_4289_T	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051851457887566	0	0	0.015114818618085	0	0	0	0	0	0	0.16363545242177	0	0.76939827107258	0	0	0	0	0	0	0
4148_4289_U	0	0	0	0.402991	0	0	0	0	0	0	0	0	0	0	0	0	0.03163	0	0	0	0	0	0	0.086162	0	0.479217	0	0	0	0	0	0	0
4148_4289_V	0	0	0	0.500773	0	0	0	0	0	0	0	0	0	0	0	0	0.085531	0	0	0	0	0	0	0.11552	0	0.298176	0	0	0	0	0	0	0
4148_4289_W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081682335099719	0	0	0	0	0	0	0.31419285880365	0	0.60412480609663	0	0	0	0	0	0	0
4148_4289_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07352149178404	0	0	0.03559308481241	0	0	0	0	0	0	0.38439214597998	0	0.50649327742357	0	0	0	0	0	0	0
4148_4289_Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0.579062	0	0	0	0	0	0	0	0	0	0	0	0.420938	0	0	0	0	0	0	0
IexuBAH1	0	0	0	0.33633333873486	0	0	0	0	0	0.20643645379268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45723020747247	0	0	0	0
IexuBAH2	0	0	0	0	0.16109983890016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42464457535543	0	0	0	0	0	0.41425558574441	0	0	0	0
IexuBAH3	0	0	0	0	0.184081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270808	0	0	0	0	0	0.545111	0	0	0	0
Ileu1BER1	0	0	0.071503193974233	0	0	0	0	0	0.1770295285507	0.026490931888361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72497634558671	0	0	0	0	0	0	0
Ileu1BER2	0	0.020827722601296	0.045248026906844	0	0	0	0	0	0.17352529403662	0.00020969575612795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76018926069911	0	0	0	0	0	0	0
ImakBAH1	0	0	0.35136413655789	0.11646878810772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53216707533439	0	0	0	0	0	0	0
ImakBAH2	0	0	0.61678325382588	0.19735674652047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18585999965365	0	0	0	0	0	0	0
ImanLIZ1	0	0	0.097168979267338	0	0	0	0	0	0	0.10159998012447	0	0.28541260357014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51581843703805	0	0	0	0	0	0	0
Isp1OAH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23770320549211	0	0.69168901935873	0	0	0	0	0	0	0.070607775149153
Isp1OAH14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012546498421398	0	0.14455512602765	0	0	0	0	0.14640047514353	0	0.60657594481666	0	0	0	0	0	0	0.089921955590751
Isp1OAH30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27010997132948	0	0.66146861268812	0	0.010683422268788	0	0	0	0	0.057737993713603
Isp1OAH67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072631	0	0.086489	0	0	0	0	0.108807	0	0.597728	0	0.027394	0	0	0	0	0.106951
Isp1OAH70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018809	0	0	0	0	0	0	0.257871	0	0.604408	0	0.045377	0	0	0	0	0.073535
Isp2OAH42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019165	0	0	0	0	0	0	0.097831	0	0.557039	0	0.191861	0	0	0	0	0.134104
Isp2OAH49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013189	0	0.054952	0	0	0	0	0.086269	0	0.506785	0	0.143476	0	0	0	0	0.195329
Isp2OAH54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156452	0	0.741568	0	0	0	0	0	0	0.10198
Isp2OAH85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186022	0	0.631875	0	0	0	0	0	0	0.182103
Isp2OAH91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5041815041815	0	0.16916116916117	0	0	0	0	0	0	0.32665732665733
Isp2OAH98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024149024149024	0	0.1043991043991	0	0	0	0	0.16852816852817	0	0.57520157520158	0	0	0	0	0	0	0.12772212772213
ItriBAH1	0	0	0.076143	0	0	0	0	0	0	0.335908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.587949	0	0	0	0	0	0	0
ItriBAH2	0	0	0.231796	0	0	0	0	0	0	0.41362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354584	0	0	0	0	0	0	0
OalbHER1	0	0	0	0	0	0	0	0	0	0.153894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.768165	0	0	0	0	0	0	0.077941
OalbHER2	0	0	0	0	0	0	0	0	0	0.25589774410226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69155230844769	0	0	0	0	0	0	0.052549947450053
OalgACAV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10775907706446	0	0	0	0	0	0.18580420205816	0	0	0.51403512919802	0	0.13959060822834	0	0	0	0	0.052810983451017
OalgACAV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055404	0	0	0	0	0	0	0.161817	0	0.359537	0	0.323656	0	0	0	0	0.099586
OalgACAV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054367054367054	0	0	0	0	0	0	0.21454221454221	0	0.41243941243941	0	0.23855523855524	0	0	0	0	0.08009608009608
OalgASAN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081838170471216	0	0	0	0	0	0	0.14062254992491	0	0.41720880476408	0	0.22557242465529	0	0	0	0	0.13475805018451
OalgASAN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056875541679284	0	0	0	0	0	0	0.16688629694989	0	0.47388348804912	0	0.22521432226132	0	0	0	0	0.077140351060386
OalgASAN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072082882727905	0	0	0	0	0	0	0.14750557771724	0	0.46493774040302	0	0.22091641343603	0	0	0	0	0.094557385715799
OalgBSAN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25056464022116	0	0.34915786453851	0	0.30798529066583	0	0	0	0	0.092292204574499
OalgBSAN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079382396028238	0	0	0	0	0	0.10529374832939	0	0	0.46535483322869	0	0.28994191961575	0	0	0	0	0.060027102797929
OalgBSAN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069539681436212	0	0	0	0	0	0	0.13589625294664	0	0.44776202724708	0	0.3043883099182	0	0	0	0	0.042413728451863
OclaLIZ1	0.257233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165658	0	0	0	0	0	0	0	0.577109	0	0	0	0	0	0	0
OclaLIZ2	0.16308116308116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16825616825617	0	0	0	0	0	0	0	0.66866266866267	0	0	0	0	0	0	0
OcraPER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001865	0	0	0	5.5e-05	0.227661	0	0	0.021528	0.424	0.08717	0	0	0	0	0	0.237721
OcraPER2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000896	0	0	0	0	0.193648	0	0	0.040098	0.432538	0.056889	0	0	0	0	0	0.275931
OfilPIA1	0	0	0	0.5997414002586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077588922411078	0	0.32266967733032	0	0	0	0	0	0	0
OfilPIA2	0	0	0	0.538809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045738	0	0.415453	0	0	0	0	0	0	0
OgenHER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12125	0	0	0	0	0	0	0	0	0.87875	0	0	0	0	0	0	0
OgenHER2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042313206528962	0	0	0	0	0	0	0	0	0.95768679347104	0	0	0	0	0	0	0
OgenLIZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098202	0	0	0	0	0	0	0	0	0.901798	0	0	0	0	0	0	0
OgenLIZ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196142	0	0	0	0	0	0	0	0	0.803858	0	0	0	0	0	0	0
OilvPIA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021574	0	0	0	0	0	0	0	0	0	0	0	0.659742	0	0.318684	0	0	0	0	0
OilvPIA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016600317988179	0	0	0	0	0	0	0	0	0	0.22016130011045	0	0.6981317183094	0	0.065106663591972	0	0	0	0	0
OilvSAN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070672	0	0	0.159354	0	0	0	0	0	0	0	0	0.681199	0	0.088775	0	0	0	0	0
OilvSAN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039334960665039	0	0	0.17103882896117	0	0	0	0	0	0.2007197992802	0	0	0.58890641109359	0	0	0	0	0	0	0
OloiHER1	0	0	0	0	0	0	0	0	0	0.154888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.733978	0	0	0	0	0	0	0.111134
OloiHER2	0	0	0	0	0	0	0	0	0	0.422862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52451	0	0	0	0	0	0	0.052628
OloiLIZ1	0	0	0	0	0	0	0	0	0	0.2898559174509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64079669594168	0	0	0	0	0	0	0.069347386607426
OloiLIZ2	0	0	0	0	0	0	0	0	0	0.343158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.624324	0	0	0	0	0	0	0.032518
Osp1DAH1	0	0.00021729707996881	0.1232550870176	0.049773813494033	0	0	0	0	0	0.012439386315862	0	0	0	0	0.17073043193314	0.018757269865543	0.019972739093604	0	0	0	0	0	0	0	0	0.5442025255266	0	0	0	0	0	0	0.060651449673648
Osp1DAH2	0	0	0.14935029310047	0.011308926754385	0.0001697632940704	0	0	0	0	0	0	0	0	0	0.13407470206024	0.033781860377972	0.011779916381226	0	0	0	0	0	0	0	0	0.58697315152099	0	0	0	0	0	0	0.07256138651065
Osp1HER1	0	0	0	0	0	0	0	0	0	0	0	0.274179	0	0	0	0	0	0	0	0	0	0	0	0.212405	0	0.433833	0	0	0	0	0	0	0.079583
Osp1OAH1	0	0	0	0	0	0	0	0	0	0	0	0.72233955784503	0	0	0	0	0	0	0	0	0	0	0.053864205480432	0.09843886384775	0	0.074598268584102	0	0	0	0	0	0	0.050759104242684
Osp3HER1	0.506967	0	0	0	0	0	0.013921	0	0	0	0	0	0	0	0	0	0	0.293015	0	0	0	0	0	0	0	0.143569	0	0	0	0	0	0.042528	0
Osp4HER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35969496148088	0	0	0	0	0	0	0	0	0.64030503851912	0	0	0	0	0	0	0
Osp5HER1	0.11837811837812	0	0	0	0	0	0.003029003029003	0	0	0	0	0	0	0	0	0	0	0.22589422589423	0	0	0	0	0	0	0	0.27681627681628	0	0	0	0	0	0.37588237588238	0
OvacBAH1	0	0	0	0	0	0	0	0	0	0	0	0	0.439255	0	0	0	0	0	0	0	0	0	0	0	0	0.560745	0	0	0	0	0	0	0
OvacBAH2	0	0	0	0	0	0	0	0	0	0	0	0	0.289457	0	0	0	0	0	0	0	0	0	0	0	0	0.710543	0	0	0	0	0	0	0
